district,non_displ_class
muqur_badghis,natural_disaster_affected
qadis,natural_disaster_affected
qala_e_naw,natural_disaster_affected
anar_dara,natural_disaster_affected
farah,natural_disaster_affected
qala_e_kah,natural_disaster_affected
almar,both_non_displ
dawlat_abad,both_non_displ
khwaja_sabz_posh,both_non_displ
qaisar,conflict_affected
shirin_tagab,both_non_displ
pashtun_kot,natural_disaster_affected
ghazni,conflict_affected
garmser,natural_disaster_affected
lashkargah,natural_disaster_affected
nad_ali,natural_disaster_affected
injil,natural_disaster_affected
aqcha,conflict_affected
fayzabad_jawzjan,conflict_affected
sheberghan,natural_disaster_affected
daman,natural_disaster_affected
kandahar,natural_disaster_affected
panjwayee,natural_disaster_affected
spin_boldak,natural_disaster_affected
sar_kani,conflict_affected
watapur,conflict_affected
marawara,natural_disaster_affected
chahar_darah,conflict_affected
mohammad_agha,conflict_affected
pul_e_alam,conflict_affected
mata_khan,conflict_affected
sharan,conflict_affected
surobi_paktika,conflict_affected
urgun,conflict_affected
aybak,natural_disaster_affected
tirinkot,conflict_affected
maydan_shahr,conflict_affected
sayed_abad,conflict_affected
qalat,both_non_displ
shah_joi,conflict_affected
faiz_abad_badakhshan,host
jorm,host
pul_e_khumri,host
nahr_e_shahi,host
bamyan,host
waras,host
miramor,host
nili,host
shahrestan,host
qaram_qul,host
qurghan,host
muqur_ghazni,host
lal_wa_sarjangal,host
hirat,host
kabul,host
mahmood_e_raqi,host
matun,host
chapa_dara,host
chawkay,host
khas_kunar,host
nurgal,host
ali_abad,host
imam_sahib,host
kunduz,host
daymirdad,host
behsud,host
jalalabad,host
kama,host
kang,host
yahya_khel,host
dara_e_suf_e_payin,host
sar_e_pul,host
chahab,host
eshkmesh,host
namak_ab,host
